question_title,question_detail,question_time,question_follower_num,ans,ans_time,ans_upvote_num,ans_collect_num,ans_comment_num,author_follower_num,author_followee_num,author_upvote_num,author_thank_num,author_answer_num,author_question_num,author_post_num,author_name
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,謝邀。<br>先給你說下半導體的基本知識吧，然後你再來看看這個。<br>一個芯片的出現需要設計、優化、生產、驗證、修改、生產，這個循環幾萬次就是一個初步的芯片模型，這時候都是純腦力的勞動體現，這時候出來的都是硬件描述代碼。<br>然後就是硬件代碼的電路化，最主要的就是電路優化，很多ic分析都表示了A系列芯片佈局優化都是apple手動優化出來的，這個耗時絕對不是幾天的量級。其中高速芯片硬件描述代碼絕對不是軟件代碼那樣單純，甚至在寫代碼時還要考慮fab廠里生產時候的要求，因為IMP（離子註入）和ETCH（蝕刻）工藝都是涉及到高能粒子，是對wafer有損的工藝，很多時候設計不好就會在這些工藝把關鍵MOS或者關鍵line誤傷，這時候就需要前期設計電路時候避開這些失誤。然後就是mask製作和生產工藝開發。<br>接下來就是把mask、工藝流程、原料種類等等資料交給代工廠（TSMC、Samsung）的FAB廠進行芯片樣本生產，先生產很少量的測試芯片，用於實際測試（有時會和設計一起進行），測試、修改BUG。<br>最後就是確定量產型開始量產，一個空wafer從進fab到出fab、完成eds、最後的back end成為一顆我們見到的芯片。<br><br>其中設計、修改、驗證最少需要1～2年時間，fab製造最快需要兩個月時間，其中es芯片也一樣要兩個月的製造，所以說一個芯片的開始開發到量產完畢投入市場最少最少需要兩年，所以就是說新一代A系列處理器很有可能在我們用iPhone6時候才開始設計，提案、初期性能需求預估可能更早，所以蘋果不可能是先決定詳細性能再開始設計生產的，只能進行一個性能的預估，他們很可能也並不會當時一拍腦子說我要芯片提升比上一代40%再開始設計（那時候所謂的“上一代”說不定還沒生產出來），這是不現實的。<br>現在芯片CD（關鍵尺寸）已經很難發展，主要靠芯片的架構、優化、多核的並行處理技術、核心技術等等，而且iPhone芯片也有一個功耗-性能的平衡比。所以說一個芯片的最終品遠遠不是當初拍腦子能決定的，說不定有一個時效性技術開發出來了那就一定要用上，也說不定其中一個關鍵技術遇到瓶頸遠遠達不到預期效果這都是有可能的。<br><br><br><br><br>所以說用互聯網思維來考慮這些東西真的很naive。因為半導體行業的高保密性很強，而且也是基於蘋果商業策略，至於為什麼是40%外界很難知道。,1471429060,124,24,45,428,63,3516,806,222,16,0,劉天聰
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,"還沒上手也沒有過內測就有模有樣寫評測，還是這種處理器的評測，我就問你羞不羞。810的慘劇還用我多說嗎，性能強大有個屁用，能耗比才是移動處理器的王道。<br><br><br>————正文分割線————<br><br><br>有屎以來iPhone頻率最高——也是最溫乎的處理器。<br><br>說人話：燙。第二個火龍810，<br>我就發現了，但凡用了大小核的處理器沒有一個不尿崩的。比如安卓那邊的810？<br>這是蘋果810。<br><br>有多燙呢。娛樂兔娛樂一下，連續三次跑分，一次比一次低<img data-rawwidth=""750"" data-rawheight=""1334"" src=""https://pic1.zhimg.com/50/7cb11543be4c8f6c2de53b4d3d9e8608_b.png"" class=""origin_image zh-lightbox-thumb"" width=""750"" data-original=""https://pic1.zhimg.com/50/7cb11543be4c8f6c2de53b4d3d9e8608_r.png""><img data-rawwidth=""750"" data-rawheight=""1334"" src=""https://pic2.zhimg.com/50/fbdc1b44321c4d756aa902b71e54a3f9_b.png"" class=""origin_image zh-lightbox-thumb"" width=""750"" data-original=""https://pic2.zhimg.com/50/fbdc1b44321c4d756aa902b71e54a3f9_r.png""><img data-rawwidth=""750"" data-rawheight=""1334"" src=""https://pic1.zhimg.com/50/c1ad289ec10ab74d96fd3d9da9176c8c_b.png"" class=""origin_image zh-lightbox-thumb"" width=""750"" data-original=""https://pic1.zhimg.com/50/c1ad289ec10ab74d96fd3d9da9176c8c_r.png""><br>然而，扔到冰水裡兩分鐘<img data-rawwidth=""2048"" data-rawheight=""1152"" src=""https://pic1.zhimg.com/50/8c91ee1a69c54801f4b307330b5efca8_b.jpg"" class=""origin_image zh-lightbox-thumb"" width=""2048"" data-original=""https://pic1.zhimg.com/50/8c91ee1a69c54801f4b307330b5efca8_r.jpg""><br>跑分輕鬆突破18萬<br>登頂榜首。你說這玩意兒能用？<br>分數高有個卵用。燙，降頻，降下來還不如6s呢。<img data-rawwidth=""750"" data-rawheight=""1334"" src=""https://pic4.zhimg.com/50/8429a8d00c1c325a3fb4e1a1e87f003b_b.png"" class=""origin_image zh-lightbox-thumb"" width=""750"" data-original=""https://pic4.zhimg.com/50/8429a8d00c1c325a3fb4e1a1e87f003b_r.png""><img data-rawwidth=""750"" data-rawheight=""1334"" src=""https://pic1.zhimg.com/50/449a6e054a3a8bb0f58a3b0b75886558_b.png"" class=""origin_image zh-lightbox-thumb"" width=""750"" data-original=""https://pic1.zhimg.com/50/449a6e054a3a8bb0f58a3b0b75886558_r.png"">",1474385129,16,4,44,1148,13,7774,1703,100,0,0,Zack
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,題主。<br><br><br><b>Apple A10的單核成績是3000而不是3500，雙核性能超過5000。提升的幅度略高於iPhone 6與iPhone 5s的差距，但也不會超過40%。</b><br><br><br><b>要知道，蘋果的“雙核”技術突破也是有瓶頸的，雖然已經非常牛逼了，但在不提升核心數的情況，只靠架構設計優化和頻率提升能在一年以內單核性能提升1000分，幾乎是不可能的。A9相比A8的單核心性能提升分數是900左右，總性能提升了70%，已經很極致了。</b><br><br><br><b>再多提一下。</b><br><b>A9的性能在iOS9的生態下帶來的速度和效率已經非常驚人和性能過剩了，論手機高負荷運行各種軟件的速度，iPhone 6s目前是無敵的存在，已經把所有安卓手機都打趴，包括剛出來的（三星NOTE 7）。而 A9在iOS 10下麵的表現基本和iOS 9的9.3.3版本持平（老外很多人做過測試視頻，不斷更新），有些APP稍慢一絲絲，有些打開則比iOS 9.3.3還要快。要知道iOS10這還只是測試版，等到了終極版本，效率和流暢性只會更佳。 所以，蘋果沒有必要在iPhone 7上再來一次處理器性能大躍進。一是技術瓶頸，二是沒有必要。 提升個30%-40%，在實際使用速度上，就又足以獨領風騷一年了。</b><br><br><br><br><br><b>繼續更新：</b><br><b>發現自己寫下的變成神預言，除了雙核變成四核心，不超過40%的性能提升，正好就是40%。GPU快了50%，情理中… </b><br><br><br><b>再說一下…</b><br><b>上面提到的蘋果雙核技術也是有瓶頸的，看來也說對了，A9已經是極限了，所以必須上4核心了。（要考慮功耗）</b><br><br><br><b>再更新一下：</b><br><b>iPhone 7已出，關於糾結選擇7還是6s的朋友，我的建議是:</b><br><br><br><b>如果你是iPhone 6s以前的機型，就選擇7，如果是6s，就不必換機了，直接等明年的iPhone吧。</b><br><b>（不差錢的，蘋果發燒友，極客每年都要換的，請自動忽略我說的內容。）</b><br><br><br><br><br><br><br><b>再更新：</b><br><b>A10 fusion Geekbench 4 跑分 單線程3400</b><br><b>多線程5500</b><br><br><br><b>A9 Geekbench 4 跑分 單線程 2500</b><br><b>多線程 4200 </b><br><br><br><b>安兔兔 </b><br><b>A10 fusion  177000</b><br><b>A9  136000</b><br><br><br><b>以上是兩款soc的最新性能測試結果</b><br><br><br><b>但要說一下：性能提升幅度不直接等於體驗幅度，</b><br><b>老外的速度測試陸續出來好幾個視頻了，在iOS 10下 7和6s的單個app運行速度 幾乎一樣 </b><br><b>大型游戲載入上 7快一點點  多個app同時運行多任務的運行效率上  7比6s快 3-4秒 </b><br><br>結論是：A10肯定是目前世界上性能最強的手機移動端soc，但其性能的發揮和提現，恐怕這一代系統還體現不出來。蘋果提升性能目的，有可能是參數競爭。<br><br>最後多說一句：<br>建議各位買iPhone 7的朋友，繞過亮黑色。其不耐刮程度和沾指紋程度，簡直慘不忍睹。有人說，我就喜歡這個顏色，我帶手機殼。那麼，你帶手機殼，都遮住了後面，還買亮黑色幹嘛呢？,1471188676,96,13,115,107,4,1252,270,53,0,0,盛凌
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,AMD的ZEN再不出，A10就真的要比A10強了,1473315318,41,2,23,24,16,827,140,89,10,0,土豆絲
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,IPHONE哪年新機不是前一代X倍性能？,1471143820,6,0,10,320,16,7006,1570,666,2,0,MICH CHANG
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,說明蘋果也開始撞工藝牆<br><br>A10和A9X的cpu性能基本相當，但是用到手機上也得使用大小核模式，說明A10大核心的持續功耗已經超過手機的散熱能力，必須用小核心來緩衝了。<br><br>另外一點，下一代ipad pro的cpu，如果工藝不變，單核心性能提升可能非常有限。<br><br>看蘋果啥時候獲得intel早就拿到的牙膏廠成就。,1473592504,11,1,3,15,112,80,25,44,3,0,road xcity
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,"性能和去年發佈會的結果略有矛盾：<br>去年發佈會：A9比A8強（up to）70%<br>今年發佈會：A10比A9強40%，<b>是A8的2倍</b><br>於是問題來了：1.7*1.4=<b>2.38</b>，和2倍相差挺大<br>還是等上市後的評測吧。<br><br>————————————————————————————————<br>更新Geekbench4的官網數據：<a href=""http://link.zhihu.com/?target=https%3A//browser.primatelabs.com/ios-benchmarks"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">iOS Benchmarks<i class=""icon-external""></i></a><br>果然超越A8兩倍都不止<br><br>DeviceScore<br>iPhone 7<br>Apple A10 Fusion @ 2.3 GHz<br>3291<br><br>iPhone 7 Plus<br>Apple A10 Fusion @ 2.3 GHz<br>3289<br><br>iPad Pro (12.9-inch)<br>Apple A9X @ 2.3 GHz<br>3013<br><br>iPad Pro (9.7-inch)<br>Apple A9X @ 2.3 GHz<br>2932<br><br>iPhone SE<br>Apple A9 @ 1.8 GHz<br>2410<br><br>iPhone 6s Plus<br>Apple A9 @ 1.8 GHz<br>2401<br><br>iPhone 6s<br>Apple A9 @ 1.8 GHz<br>2375<br><br>iPad Air 2<br>Apple A8X @ 1.5 GHz<br>1785<br><br>iPad mini 4<br>Apple A8 @ 1.3 GHz<br>1629<br><br>iPhone 6 Plus<br>Apple A8 @ 1.4 GHz<br>1473<br><br>iPhone 6<br>Apple A8 @ 1.4 GHz<br>1464<br><br>iPod touch (6th Generation)<br>Apple A8 @ 1.1 GHz<br>1313",1473341445,7,1,14,196,46,2117,545,322,1,0,隔壁王老五
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,"瞎jb補充兩張圖<br><br><img src=""https://pic2.zhimg.com/50/v2-7c5b090462430c66fc7cc0ec49a88f1d_b.jpg"" data-rawwidth=""720"" data-rawheight=""606"" class=""origin_image zh-lightbox-thumb"" width=""720"" data-original=""https://pic2.zhimg.com/50/v2-7c5b090462430c66fc7cc0ec49a88f1d_r.jpg""><br><img src=""https://pic1.zhimg.com/50/v2-5695bd1a6443c536e317a21dc6baab74_b.jpg"" data-rawwidth=""495"" data-rawheight=""186"" class=""origin_image zh-lightbox-thumb"" width=""495"" data-original=""https://pic1.zhimg.com/50/v2-5695bd1a6443c536e317a21dc6baab74_r.jpg""><br><br>這個很神奇？<br><br><img src=""https://pic4.zhimg.com/50/2087b8204e7d28038c842eb76ec11c2f_b.png"" data-rawwidth=""600"" data-rawheight=""364"" class=""origin_image zh-lightbox-thumb"" width=""600"" data-original=""https://pic4.zhimg.com/50/2087b8204e7d28038c842eb76ec11c2f_r.png"">",1471145732,10,1,9,964,2,17347,3892,2074,47,5,文刀叉點
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,"圖侵刪！<br><img data-rawwidth=""559"" data-rawheight=""476"" src=""https://pic4.zhimg.com/50/59436a37cab24d1f8d21cc1dcf85a48b_b.jpg"" class=""origin_image zh-lightbox-thumb"" width=""559"" data-original=""https://pic4.zhimg.com/50/59436a37cab24d1f8d21cc1dcf85a48b_r.jpg"">",1473648921,50,8,12,1542,67,2720,1122,460,0,13,老刁
如何看待 iPhone 7 所搭載的 A10 處理器性能大增？,"蘋果發佈的 iPhone 7 搭載了 A10 Fusion，性能比 A9 大幅提升。<br><img src=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_b.png"" data-rawwidth=""1296"" data-rawheight=""549"" class=""origin_image zh-lightbox-thumb"" width=""1296"" data-original=""https://pic1.zhimg.com/50/50e9c1b3be8c2be2b2c8fb03b804ba08_r.png"">",1471106784,331,發佈會使用的詞是four-core，而不是quad-core，實際是兩大核兩小核，性能還是兩大核跑出來的，小核只解決功耗問題。想到了MTK的16核。,1473305229,11,0,16,30,3,1858,230,57,1,0,鏡月湖上的CZ-5
