question_title,question_detail,question_time,question_follower_num,ans,ans_time,ans_upvote_num,ans_collect_num,ans_comment_num,author_follower_num,author_followee_num,author_upvote_num,author_thank_num,author_answer_num,author_question_num,author_post_num,author_name
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,"4要3不要 如何優雅地和老闆談工資<br><br><p><strong>什麼時候“要”：</strong></p><p><u><b>1.你已經拿到了offer（最好是書面的）的時候</b></u></p><p>很多有著十餘年招聘經驗的面試官說，他們見過太多求職者搞錯了一件事，那就是一紙offer還沒到手就開始強硬地和老闆談薪水。所以請務必記得談判的基本原則——即使你實在是想知道自己到底能從這份工里掙到多少錢，你也應該選擇一個適當的時機。一般來說，只有在面試最後，他們明確地說要雇用你的時候，你才能談到薪水問題。只有用人單位需要你，你才有資本去討價還價。所以如果你已經確認拿到了offer而工資還有待商榷，那就放心去談吧；相反，如果你還在等offer的話，慢點再談薪水不遲。</p><p><b><u>2.當你可以清楚的說出你所帶來的價值的時候</u></b></p><p>你的老闆在給你開多少薪水這件事上，不會考慮你要付多少房租，你要還多少貸款。這樣想的人只會是你的老婆/老公或者老媽老爸，惟獨不會是你的老闆。老闆的考慮只有兩個:第一，你給公司創造的價值高還是低；第二，你的可替代性強不強。所以當你拿到offer並準備談工資的時候，你必須盡自己最大努力說明你會給公司帶來什麼樣的價值，這樣才會在談判中占據有利條件。牢記：要言之有理，證據確鑿。</p><p><b><u>3.當你發覺你開始厭惡你的工作的時候</u></b></p><p>如果當你看著工資條時感覺心煩意亂、胸悶氣短，想想看如果你接受了一份薪水很不OK的工作，對著這樣一張工資條你看上一個月、半年甚至三年的狀態吧。這個時候大膽去談薪水，不成功便成仁，反正你的下一任老闆值得有一個對自己的機會和待遇都滿意的好員工，更不用說你也值得擁有一份樂在其中的好工作了。</p><p><b><u>4.當薪水問題還有商量餘地的時候</u></b></p><p>一些HR曾經遺憾的表示在他們職業生涯中曾因薪資問題錯失過一些求職者，這些求職者在一聽到薪水報價低於預期的時候就馬上離開了。如果你真的喜歡這家公司和這個職位，比起馬上拍屁股走人，請至少誠懇的談一談，再爭取一下，畢竟好職位不常用，而薪資問題在大多數情況下都還是有商量的餘地的。</p><br><p><strong>什麼時候“不要”：</strong></p><p><b><u>1.你已經接受了較低薪水的時候</u></b></p><p>試想一下，當你面對新offer，喜出望外迫不及待說了Yes，回家的時候卻發現你老婆說她想換車，孩子學費又漲了，這個月又有好多份子錢要出，這個時候你想回過頭再和老闆商量能不能多給點錢顯然行不通了。所以當offer來敲門，最明智的做法是先感謝你的潛在雇主，然後冷靜一晚，在你頭腦發熱後悔之前給自己一些思考的餘地。</p><p><b><u>2.當企業說這已經是最佳offer的時候</u></b></p><p>當你準備加入的新團隊真的想要你的時候——尤其是當你開出的薪水又符合他們的預算上限——他們通常會開出這樣的offer：“我們希望你能加入到我們團隊，所以我們給了你我們能給到的最佳offer。”除非你打算拒絕，否則再為工資問題糾結就是相當冒險的，那會使你看上去要麼聽力有問題，要麼就是對公司的預算毫不關心。事實上，招聘方但凡在報價上還有迴旋的餘地，都不會這麼直接了當了。</p><p><b><u>3.當你沒有被加薪的理由的時候</u></b></p><p>如果你已經做了足夠多的功課，瞭解到你現有的工資基本與行業水平、你的資歷、你的背景相符，那就不要在薪水方面多費口舌了。除非你能給出有力的證明，證明你值得被付給更高的薪水，否則要求過高就不是一個明智的決定。</p><p>工資看上去是一個很難開口的問題，提出過高過低都不好，但又是必須面對的。你需要權衡利弊，綜合考量。如果你想賺更多的鈔票，那麼從現在起，就要建立一個能讓你未來的老闆意識到你的價值的計劃啦。既然來工作，勞動所得的成果對於自己而言就要是無愧於心的。所以，談薪資是很重要和必要的。懂得怎麼談，不僅能幫助自己取得更多的利益，而且也能在公司面前展現出一個自信、有實力的自己！</p><p><u><b><i>via界面（<a href=""http://link.zhihu.com/?target=http%3A//jiemian.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">jiemian.com</span><span class=""invisible""></span><i class=""icon-external""></i></a>)</i></b></u></p>",1428561864,40,64,3,,,,,,,,匿名用戶
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,我覺得你應該朝著這幾個方面來周旋<br><br>1.首先你得瞭解對方可以提供的薪酬範圍，保持清晰的思路，善於發問，從中捕捉足夠的信息。如果對於開出的薪資不太滿意，可以嘗試用協商的口氣去商量，要表明自己的期望工資很合<br>理。<br><br>2.別因為特別想去某家公司，面試時就會產生崇拜心理，即使薪水少得可憐，還是會無條件接受，醒醒吧！買個菜還得砍價呢，更別說工資這等大事了，據瞭解大多數公司都是會給出行業的最低價，以便應聘者討價還價！<br><br>3.你應該在面試前就要做好功課，瞭解職位在行業中的價格，再根據自己的經驗和年限來衡量自己究竟值多少錢，這樣在面試中對於公司提出的價格也會比較清楚。<br><br>4.在面試前給自己定一個自己能接受的最低薪資，一旦公司給你的薪水低於了你的期望值，先商量，如果商量不行，那就別掙扎了，他不是你的伯樂，你也沒必要留戀了。<br><br><br>這些僅限於是在面試的時候應該跟HR這麼談薪水，薪水說白了就是你的生活來源，肯定你得好好談。。。<br><br>哦哦 對 在補充一點，就是敢談，別HR給你個薪水你就直接點頭哈腰同意了，一般HR給出的薪水都是最低的薪水....,1428564868,7,5,1,7820,58,20243,5103,180,0,0,龍二姑
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,HR一般是不會壓低你工資的，給工資的都是部門老闆好嗎...,1428565637,2,0,3,66,19,36,15,13,0,0,章小魚
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,屈神 沒人敢壓你工資 ,1428557763,2,0,0,5,11,2,1,3,0,0,邱理
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,<p>我的策略是，要是敢壓低我的工資，就拒掉offer。</p><br><p>其實如果都到了談offer的程度，基本上就是非常想要你了，也就是說：<strong>他們已經對你索取的薪金有了準備。</strong></p><br><p>這時候他們無非就是想壓一下錢節約一下成本，只要你能堅持咬住不松就OK了。</p><br><p>永遠相信一句話：<strong>看中了你的公司，不在乎一定要壓你的那點工資，一定要壓你工資的公司，說明也不是很看中你，這樣的公司不去也罷。</strong></p>,1428574180,15,2,1,444,278,6353,947,141,4,0,Sizz Flair
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,你去買衣服，地攤貨夠便宜了吧。為何不考慮？便宜無好貨嘛。同理，不是工資開的越低，對方就願意買單的。<br><br>怎麼操作？<br><br>價格適當開高點，又給對方一點讓的空間。比如，要五千，可以開價七千，然後加一句：當然了，更看中公司這個平臺，如果實在價格滿足不了，還可以談一談。<br><br>如果對方再繼續跟你談。那麼恭喜你，勝利在望。應該你們會心照不宣的在六千這個數字達成一致了。,1428660926,3,0,2,1027,224,1199,541,212,4,0,晨鐘暮鼓
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,今天你壓我工資，明天我讓你沒工資 ,1428564417,0,0,0,6,11,0,0,3,0,0,Leic
如何在面試中與 HR 周旋，不被壓低工資，一般要怎麼說？,,1428556450,116,直接告訴他，你叫屈神,1428561609,0,0,2,6,7,0,1,3,1,0,孑然一身孤對笑
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,"首先就第一問法語方面分析。<br><br>女BOSS原話：“ Pouvez-vous me dire le différente marketing sur voyager niche entre le Chine et le France? ”<br>首先純中國口音，意群分段錯誤。其次這句話和她後來用中文解釋的意義完全不同。再次這句話嚴格上來說是沒有意義的，因為不存在“voyager niche”的說法。<br><br>整句話語法錯誤主要在le/la不分以及缺漏，表意錯誤在le marché（市場）說成marketing（營銷學），le tourisme（旅游業）說成 voyage（旅游），niche de marché（針對特定的小範圍需求形成的特殊市場）說成voyager niche。<br><br>乍聽到這句話，第一反應是在問“是否能講講中法之間voyager niche方面的不同的營銷策略”。<br>總評：女BOSS法語水平：差，硬要用自己不會的概念，導致整句話沒有意義。<br><br>求職者原話：“Vous parez marketing? marketing...bahn...A mons avis c'est, mons avis différence c'est liberté...surtout...”<br>帶少量中國口音，看得出較有口語經驗。語法方面，遺漏冠詞、介詞，mons avis連頌錯誤，parlez錯講成parez（不妨礙理解）。內容上，在聽到女BOSS問話後無法明白，回答內容空洞，可以理解。<br>總評：口語水平尚可，語法水平不夠，勉強可以表達自我觀點，但低於留法十年的中國人的平均水平。<br><br>第二問：Bac+5是指碩士或同等學力水平，此水平不一定是指master，也可以指Diplôme d'études supérieures spécialisées(DESS)、Diplôme de hautes études technologiques(DHET)、diplôme d'études approfondies（DEA)等，2002年後這些學位都被劃入碩士學力水平（grade de master）。有的碩士或同等學力水平上不會標示master，但會寫明au niveau bac+5（bac+5學力水平）。",1337700708,66,5,3,757,121,6797,1313,430,40,0,Snorri
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,3. 張紹剛的一個特點是，只引導選手到自己熟悉的問題里來彰顯自己“懂”。大多數時候他為了做到這一點，會把問題帶到和求職、工作技能完全無關的領域，像劉莉莉那期，張想讓劉說一兩個莎士比亞的戲劇比如哈姆雷特，然而劉說了英雄雙行體、無事生非，直到第三個回答“麥克白”才讓張滿意，他趕緊問“麥克白里演了什麼角色”，結果劉說演了巫婆，他鬱悶，沒有順利展示自己的“懂”，只好轉移話題，並開始醞釀在“中國”環節的發飆。<br><br>事後對張的採訪，他強調自己當時就瞭解英雄雙行體，並對採訪者噼里啪啦說了一大堆莎士比亞的科普。然而以當時節目里他的表現（特別是細微的表情、動作），都很顯然這些都是他事後自己查的，有多虛榮可見一斑。<br><br>另外他知道的也就是某個領域里的皮毛問題，要知道這個節目對選手會有層層篩選和初步面試，節目走向都有劇本大綱，絕非全是即興發揮。任何人如果事先看到一份法國導演學歷的簡歷，提的問題可能比他還專業。<br><br>4.2號求職者是誰？郭傑和劉莉莉是兩個極端，一個太柔弱太窩囊，另一個太強勢，那些BOSS喜歡的是中庸、圓滑的，進一步講，其實是張紹剛和節目組喜歡中庸的。因為很多期節目，包括郭傑、劉莉莉甚至B哥，都有一些BOSS表現出了理解甚至欣賞，只是迫於張紹剛的壓力才滅燈。他自己不爽以後，會直接打斷所有人對話，進入滅燈環節，仿佛下了判決書一樣，誰敢不滅？,1338369290,34,1,14,299,263,4309,1091,47,0,0,李崇陽
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,我查了一下  bac+5確實是法國碩士學位，被文頤說成是大專學歷，但是這種情況下，求職者完全可以反駁的，但是他沒有，而是暈倒，先不說是不是裝的，心理素質太差。<br>法語我聽不懂，不做評價。<br>啟示是求職時必須要對自己所擁有的優勢正確的表現出來，不要隨意誇大，尤其是留學生，要說明自己所拿證書的含金量，或者和國內某些證書的含金量比較會比較好。,1337691764,4,0,3,75,295,173,37,83,12,0,對偶多面體
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,提電影就是戈達爾、特呂弗、四百擊，似乎知道看過就懂電影。讓他去問成龍看過沒有，我看成龍也沒看過。～看來求職者上臺之前真要讀讀Zhuangbility Handbook。,1337766988,9,0,8,44,12,349,111,240,3,0,波爾霍斯
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,非你莫屬以主流媒體傳播的形式大肆宣張地對留法學生的冷漠處事態度本就不該屬於主流，眾企業以包裝化的形式廣告自身的行為對廣大求職者來說弊大於利，人在選擇的過程中，一旦非自然化的主流形式占據內心，又何談真實自我的存在呢？面試者在要求應聘者以真實相待之前，請先脫掉自己的偽裝。,1338043114,4,0,2,1,3,6,2,2,0,0,陶文林
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,1、法語不懂 不評論<br>2、人家文憑是真的，很多人都說了<br>3、張紹剛現在在中國傳媒大學當老師。經常在食堂可以看到，你可以自己去問問他,1337707346,2,0,0,20,139,23,7,33,2,0,張小琪
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,認個錯就這麼難。,1338535345,1,0,0,37,153,19,7,39,0,0,楊康
如何看待非你莫屬（ 20120520）中的文頤，張紹剛，求職者？,"<a href=""http://link.zhihu.com/?target=http%3A//v.youku.com/v_show/id_XMzk5Nzk2MDQ0.html%3Ffirsttime%3D1943"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">v.youku.com/v_show/id_X</span><span class=""invisible"">Mzk5Nzk2MDQ0.html?firsttime=1943</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>    對2號求職者<br><ol><li>一開始文頤與求職男的法語對話，2個人說了什麼？2個人的法語怎樣？</li><li>文頤講的（bac+5）是大專嗎？</li><li>張紹剛好像很懂電影（好像什麼都很懂），他有影視方面背景嗎？</li><li>2號求職者的表現，對面試有什麼啟示？</li></ol>",1337652803,59,想知道那女的現在如何了？,1481538836,0,0,0,108,15,708,233,344,8,0,韓翔
