question_title,question_detail,question_time,question_follower_num,ans,ans_time,ans_upvote_num,ans_collect_num,ans_comment_num,author_follower_num,author_followee_num,author_upvote_num,author_thank_num,author_answer_num,author_question_num,author_post_num,author_name
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"10.2日更新。<br>【不是這幾天這個回答被推，都忘了這個問題還沒有更新完結】<br><br>謝邀。<br>首先，我糾正一下題目的描述<br>如何判斷一幅風景照片具有ps成<b>精美大作</b>的潛質？<br>我覺得<b>精美大作</b>這幾個字標準過於模糊和不確定<br>所以，我覺得題目可以改成：<br><b>如何判斷一幅風景照片具有較大的後期潛力。</b><br><br><br><b>我這裡講的後期類似於化妝，而不是整形</b>，相信大家可以明白這二者的區別。<br><b>我這裡的後期指的是生活妝，而不是彩妝。</b><br><img src=""https://pic3.zhimg.com/50/71dede268c6e967f433952170d897ece_b.jpg"" data-rawwidth=""1000"" data-rawheight=""669"" class=""origin_image zh-lightbox-thumb"" width=""1000"" data-original=""https://pic3.zhimg.com/50/71dede268c6e967f433952170d897ece_r.jpg""><br><br><img src=""https://pic1.zhimg.com/50/bff0a7ff5bb329b1be7f2f234d8d437c_b.jpg"" data-rawwidth=""1000"" data-rawheight=""669"" class=""origin_image zh-lightbox-thumb"" width=""1000"" data-original=""https://pic1.zhimg.com/50/bff0a7ff5bb329b1be7f2f234d8d437c_r.jpg"">這就是彩妝。<br><br><br>在這裡告訴大家一個<b>極限控製法</b>，就是你在考慮一張照片後期的時候，你拋開你後期技術等客觀因素，窮盡你的想象力，在只改變畫面色彩和凸顯畫面細節這兩個方面的時候，照片最好能好到什麼樣子，如果你認為就算這兩個方面到達了極限，畫面也僅僅是一般般，那就沒必要討論後期潛力了，雖然從0分到50和從50分到80分，前者的潛力更大，但是我覺得還是要在一個闕值的前提下談潛力，否則是做無用功。舉個例子吧。<br><img src=""https://pic4.zhimg.com/50/cdca8b6034a7ea95940f6a94fa65d29b_b.jpg"" data-rawwidth=""1024"" data-rawheight=""578"" class=""origin_image zh-lightbox-thumb"" width=""1024"" data-original=""https://pic4.zhimg.com/50/cdca8b6034a7ea95940f6a94fa65d29b_r.jpg"">這張照片我不否認後期的潛力還是蠻大的，後期完了之後可能視覺上的差異還是蠻大的。<br><img src=""https://pic3.zhimg.com/50/feab561bf0ea2934027dc6d760e0312a_b.jpg"" data-rawwidth=""1024"" data-rawheight=""578"" class=""origin_image zh-lightbox-thumb"" width=""1024"" data-original=""https://pic3.zhimg.com/50/feab561bf0ea2934027dc6d760e0312a_r.jpg"">但是由於這樣的場景過於平常，十分容易捕捉，不具有多大的獨特性，換言之，只要你擁有相應的後期技術，很多場景都能修成這樣，也就失去了優越性。<br><img src=""https://pic3.zhimg.com/50/d4f63ed836de1848456150b4cdf01cfa_b.jpg"" data-rawwidth=""800"" data-rawheight=""533"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic3.zhimg.com/50/d4f63ed836de1848456150b4cdf01cfa_r.jpg"">反觀這張照片，丁達爾效應，銀杏樹，這可不是隨便都能碰到的場景，後期出來的效果應該不錯。<br><img src=""https://pic2.zhimg.com/50/49b554e2491628d19665616281d19245_b.jpg"" data-rawwidth=""800"" data-rawheight=""533"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic2.zhimg.com/50/49b554e2491628d19665616281d19245_r.jpg"">嗯，效果出來了吧。<br><br><br>我覺得以下幾類風景照的潛力比較大。<br><br><b>1：大光比風景照。</b><br><b>2：早晨和黃昏的時的風景照。</b><br><b>3：丁達爾效應照片。</b><br><b>4：色彩鮮明或者罕見的自然現象。</b><br><br><br><br><b>1：大光比風景照。</b><br>這類照片的潛力通常都比較大，我覺得HDR在這方面的運用可以彌補很多前期的不足。<br><img src=""https://pic2.zhimg.com/50/8d6c81c40551e451560617d7505d94e9_b.jpg"" data-rawwidth=""800"" data-rawheight=""512"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic2.zhimg.com/50/8d6c81c40551e451560617d7505d94e9_r.jpg""><br><img src=""https://pic4.zhimg.com/50/d1a38ce0120ff71070b2c8721a3804df_b.jpg"" data-rawwidth=""800"" data-rawheight=""512"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic4.zhimg.com/50/d1a38ce0120ff71070b2c8721a3804df_r.jpg""><br>上圖我是直接在JPG格式上處理的，RAW效果會更好。<br><br><img src=""https://pic1.zhimg.com/50/a0f5ba3c4c2098d8580b22e402379f54_b.jpg"" data-rawwidth=""800"" data-rawheight=""1024"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic1.zhimg.com/50/a0f5ba3c4c2098d8580b22e402379f54_r.jpg""><br>對於這張照片，我特意凸出了<b>白雲的形態與層次，增加了雲在水中倒影的層次感，樹林的色彩和高光感，以及山脊的光影感。</b><br><br><br><b>當然，你也可以處理成其他風格，不過一般不建議這樣做。</b><br><img src=""https://pic2.zhimg.com/50/3e36008e5b1fb7400b5b58a045233141_b.jpg"" data-rawwidth=""800"" data-rawheight=""512"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic2.zhimg.com/50/3e36008e5b1fb7400b5b58a045233141_r.jpg""><br><b>2：早晨和黃昏的時的風景照。</b><br>這個時候天空的色彩明顯，你可以通過後期比較容易的加強和減弱色彩甚至轉換色彩。因為白平衡的設置或者曝光的問題，導致許多絢麗的色彩沒能展現出來，這時候後期就發揮了巨大的作用。<br><br><img src=""https://pic2.zhimg.com/50/a0babca0a517a9a63e736cbbb3207359_b.jpg"" data-rawwidth=""800"" data-rawheight=""534"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic2.zhimg.com/50/a0babca0a517a9a63e736cbbb3207359_r.jpg""><img src=""https://pic2.zhimg.com/50/f699167028130e14a489291ebbe2d055_b.jpg"" data-rawwidth=""800"" data-rawheight=""534"" class=""origin_image zh-lightbox-thumb"" width=""800"" data-original=""https://pic2.zhimg.com/50/f699167028130e14a489291ebbe2d055_r.jpg""><br><br><br><br><br><b>【更新內容】</b><br><br><br><b>三：丁達爾</b><br>其實也沒有多少內容可以說了，丁達爾我前面已經放了一張圖片了，我再放幾張大家體會一下感覺吧。<br><br><img src=""https://pic4.zhimg.com/50/6e706de2b18c487ce07d91975c5a7a2f_b.jpg"" data-rawwidth=""571"" data-rawheight=""366"" class=""origin_image zh-lightbox-thumb"" width=""571"" data-original=""https://pic4.zhimg.com/50/6e706de2b18c487ce07d91975c5a7a2f_r.jpg""><img src=""https://pic4.zhimg.com/50/c4d2a225b71d7ef0a8f2826e48e44e9f_b.jpg"" data-rawwidth=""570"" data-rawheight=""366"" class=""origin_image zh-lightbox-thumb"" width=""570"" data-original=""https://pic4.zhimg.com/50/c4d2a225b71d7ef0a8f2826e48e44e9f_r.jpg""><img src=""https://pic2.zhimg.com/50/f5c0c455a3acc21e488524000c66bb4d_b.jpg"" data-rawwidth=""582"" data-rawheight=""439"" class=""origin_image zh-lightbox-thumb"" width=""582"" data-original=""https://pic2.zhimg.com/50/f5c0c455a3acc21e488524000c66bb4d_r.jpg""><img src=""https://pic3.zhimg.com/50/8bcc54b2c31d7649f81f811cf01046ea_b.jpg"" data-rawwidth=""579"" data-rawheight=""439"" class=""origin_image zh-lightbox-thumb"" width=""579"" data-original=""https://pic3.zhimg.com/50/8bcc54b2c31d7649f81f811cf01046ea_r.jpg""><br><br><br><b>四：色彩鮮艷。</b><br>最後一種色彩鮮明，大家可以看看圖蟲的這張照片，這是大光比和色彩鮮艷的結合：<a href=""http://link.zhihu.com/?target=http%3A//tuchong.com/645/6053117/"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">交流一下後期<i class=""icon-external""></i></a><br><br><br><img src=""https://pic4.zhimg.com/50/eb238aa9bef538697cf3cb297ed756bb_b.jpg"" data-rawwidth=""861"" data-rawheight=""493"" class=""origin_image zh-lightbox-thumb"" width=""861"" data-original=""https://pic4.zhimg.com/50/eb238aa9bef538697cf3cb297ed756bb_r.jpg""><img src=""https://pic3.zhimg.com/50/4aa4a1625f167fe6a09b7ab76b4b7576_b.jpg"" data-rawwidth=""718"" data-rawheight=""960"" class=""origin_image zh-lightbox-thumb"" width=""718"" data-original=""https://pic3.zhimg.com/50/4aa4a1625f167fe6a09b7ab76b4b7576_r.jpg""><br><br>當然，喜不喜歡這種色彩風格和後期處理是一回事，會不會做這種後期又是另外一回事了。",1371374141,826,1486,79,126496,50,215734,60555,273,33,137,葉明
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"也要看你拍的是什麼內容吧，內容空洞或者平庸，ps再強也無回天之力。<br>色彩、飽和度之類的不要亂調，很容易過度<br>拍raw是因為後期空間大，raw只記錄曝光值和iso，相當於膠片。要想顯示什麼顏色，是顯影的工作，也就是數碼上profile加載<br>如果不過曝的話，可以找回一些內容，說簡單點，照片的內容就是光線明暗對比形成的圖像，過曝就是這部分內容沒有被記錄，rgb值都為0<br>要做成什麼效果，自己腦子裡要有個概念。很普通的一張照片可以做成大片，就像把一根樹根打磨成根雕，這個沒辦法討論。<br>對90%的人來說一提到後期就認為是ps，其實後期有很多工具，ps只是用的最廣泛的一種工具，有很多濾鏡可以化腐朽為神奇。但它也不是萬能的，用的好不好還是看個人的，多研究研究ps技巧吧，網上有很多教程。<br>上幾張圖給你參考一下，你看到的震撼的片子，很可能就是從很普通的照片精雕細琢出來的。攝影就是用光畫畫，腦子裡首先有個目標，然後再去拍攝素材。很多新手本末倒置，以為脫離了原片就不真實了，那是因為他缺乏想象力。<br><br><img src=""https://pic3.zhimg.com/50/673ae80b892de789f14fb0ae9e1000a2_b.jpg"" data-rawheight=""353"" data-rawwidth=""686"" class=""origin_image zh-lightbox-thumb"" width=""686"" data-original=""https://pic3.zhimg.com/50/673ae80b892de789f14fb0ae9e1000a2_r.jpg""><br><img src=""https://pic4.zhimg.com/50/9aa8e743586616bef051e4ee02445a9f_b.jpg"" data-rawheight=""901"" data-rawwidth=""1003"" class=""origin_image zh-lightbox-thumb"" width=""1003"" data-original=""https://pic4.zhimg.com/50/9aa8e743586616bef051e4ee02445a9f_r.jpg""><br><img src=""https://pic2.zhimg.com/50/019ae40ade02fafd85c6598b33374c31_b.jpg"" data-rawheight=""700"" data-rawwidth=""700"" class=""origin_image zh-lightbox-thumb"" width=""700"" data-original=""https://pic2.zhimg.com/50/019ae40ade02fafd85c6598b33374c31_r.jpg""><br><img src=""https://pic1.zhimg.com/50/ab49d0848c7026721ec6cff2c62120ac_b.jpg"" data-rawheight=""854"" data-rawwidth=""979"" class=""origin_image zh-lightbox-thumb"" width=""979"" data-original=""https://pic1.zhimg.com/50/ab49d0848c7026721ec6cff2c62120ac_r.jpg"">",1371315552,59,18,11,158,4,207,116,75,1,0,radeonchen
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"個人比較喜歡視覺衝擊力比較強的，所以一般飽和度會多一點，見圖<img src=""https://pic2.zhimg.com/50/d3e701be5ecbedce19980b3b4fb6af51_b.jpg"" data-rawheight=""607"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic2.zhimg.com/50/d3e701be5ecbedce19980b3b4fb6af51_r.jpg""> ——這幾幅圖是在泰山上拍的，《註》所有的都是手機拍攝，後期PS調色的，所以還是會有瑕疵的，望見諒，指教，多多指導<img src=""https://pic2.zhimg.com/50/7e82922459bcc272e89c29f0ff7351b5_b.jpg"" data-rawheight=""740"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic2.zhimg.com/50/7e82922459bcc272e89c29f0ff7351b5_r.jpg""><img src=""https://pic1.zhimg.com/50/5848ded4a5f395530546521539344264_b.jpg"" data-rawheight=""774"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic1.zhimg.com/50/5848ded4a5f395530546521539344264_r.jpg""> 雖然有的飽和度較高，但我個人還是比較喜歡這種風格的，只是增強了大自然賦予的色彩，帶來另一種美感<img src=""https://pic1.zhimg.com/50/f1d8f9d7eae48bf2107877526830a764_b.jpg"" data-rawheight=""785"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic1.zhimg.com/50/f1d8f9d7eae48bf2107877526830a764_r.jpg""> 個別的加了光線，就是所謂的丁達爾效應<img src=""https://pic3.zhimg.com/50/759e14098f07bfd6637035e82c765412_b.jpg"" data-rawheight=""810"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic3.zhimg.com/50/759e14098f07bfd6637035e82c765412_r.jpg""><img src=""https://pic2.zhimg.com/50/de8daefbf1f37dc1a96139bdb7e5a03d_b.jpg"" data-rawheight=""669"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic2.zhimg.com/50/de8daefbf1f37dc1a96139bdb7e5a03d_r.jpg""><img src=""https://pic4.zhimg.com/50/acc2217023c619ac876a1b4a843c8c47_b.jpg"" data-rawheight=""1440"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic4.zhimg.com/50/acc2217023c619ac876a1b4a843c8c47_r.jpg""> 不得不說泰山之頂真的很壯觀<br>——下麵的就是清明節時在洛陽拍的幾張，同樣是手機拍攝的<img src=""https://pic3.zhimg.com/50/708202969cbc7296b38a39034fd2bde2_b.jpg"" data-rawheight=""810"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic3.zhimg.com/50/708202969cbc7296b38a39034fd2bde2_r.jpg""><img src=""https://pic4.zhimg.com/50/ac619bb94e8f18fdc01818aa4e0c330f_b.jpg"" data-rawheight=""900"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic4.zhimg.com/50/ac619bb94e8f18fdc01818aa4e0c330f_r.jpg""><br><img src=""https://pic3.zhimg.com/50/708202969cbc7296b38a39034fd2bde2_b.jpg"" data-rawheight=""810"" data-rawwidth=""1080"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic3.zhimg.com/50/708202969cbc7296b38a39034fd2bde2_r.jpg""><br>[圖片未上傳成功]<br><br><br>最後還希望大家多指教指教，畢竟還在學習中，相互交流一下",1444906490,2,0,0,286,1,1228,408,33,5,0,周shayne
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"個人認為有了ps之後，影像的可能性無限的。<br><img src=""https://pic1.zhimg.com/50/937cdc60736ce934dbeffea3124fb06c_b.jpg"" data-rawwidth=""1011"" data-rawheight=""338"" class=""origin_image zh-lightbox-thumb"" width=""1011"" data-original=""https://pic1.zhimg.com/50/937cdc60736ce934dbeffea3124fb06c_r.jpg"">這是一年前我處理的一張用手機拍攝拼接的照片（各位見笑了）<br>這裡分享一篇比較inspiring的講後期處理的文章：<br><a href=""http://link.zhihu.com/?target=http%3A//pp.163.com/forum/260001/subject/1031002/%3Freferered%3Dhttp%253A%252F%252Fpp.163.com%252Fforum%252F260001%252Fsubject%252F1031002%252F%253Fpage%253D1%26page%3D1"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">總結我的2012-我的二次構圖法<i class=""icon-external""></i></a>",1380690554,7,5,3,13,19,11,5,3,0,0,Wang James
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,這不是取決於照片，而是取決於p圖同學的水平。,1380685435,2,0,0,2161,155,783,239,85,1,0,路飛
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,除去創意攝影，如果題主的意思是指純粹的攝影<br>精美大作是PS不出來的。。。<br>按下快門的時候是收集數據，是先天決定<br>PS裡面調來調去是後天補充。<br>可是如果自身先天不足，後天再努力也是縫縫補補。,1371728849,6,0,2,2466,121,2767,723,272,8,1,高超MD PhD
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"（今天才看到題目中有“風景”兩個字……最近眼神兒怎麼這麼不好呢^_^! 答案大家就當非風景照片的參考吧）<br><br><br><b>有目的、有故事（或編的出故事的）、用心拍的照片，都有PS空間，即使RAW一開始看上去可能灰濛蒙的。什麼照片沒有PS空間呢，編不出故事的照片</b><b>。</b>這種照片通常在照片描述里你寫不出第二句話——這種照片就沒必要PS了。舉幾個極端的慄子，領導合照，到此一游照，模特表情僵硬照，連按快門連翻白眼都能拍下來的連續表情照等等（小貼士：如果你很能編故事也可以，觀眾中也不乏傻子。只是別拿給其他攝影師看就好。）<br><br>其實標準是很寬泛的：就像文學作品一個道理——只要有好的故事梗概，配上好的文字風格（PS），就會得到讀者認可；反之若故事梗概很無聊，你怎麼粉飾也無用。糖水片就是這個意思吧。<br><br>風光片里通常不太能講出個故事，那是因為風光片有一種此時無聲勝有聲的氣魄。<br><br>開始舉慄子嘍~<br><br>（貓在睡覺可以是個很有意思的故事。我想把這個貓頭變成有意思的貓頭）<br><img src=""https://pic3.zhimg.com/50/25185702d65cb636d06dc1ad5eb3780a_b.jpg"" data-rawwidth=""400"" data-rawheight=""266"" class=""content_image"" width=""400"">（嗒噠~）<br><img src=""https://pic4.zhimg.com/50/728bfadcf7a8d84708a7db1f5ab95723_b.jpg"" data-rawwidth=""638"" data-rawheight=""960"" class=""origin_image zh-lightbox-thumb"" width=""638"" data-original=""https://pic4.zhimg.com/50/728bfadcf7a8d84708a7db1f5ab95723_r.jpg""><br>（那幾天很想家，想念二十年前那個年代）<br><img src=""https://pic3.zhimg.com/50/bb14e22386962c7c73cad8acfe1bd222_b.jpg"" data-rawwidth=""1165"" data-rawheight=""457"" class=""origin_image zh-lightbox-thumb"" width=""1165"" data-original=""https://pic3.zhimg.com/50/bb14e22386962c7c73cad8acfe1bd222_r.jpg""><br>（大爺，你一定要坐在背陰的這邊嗎，那你戴墨鏡作甚……）<br><img src=""https://pic1.zhimg.com/50/6ba8a96c0586692a1ae679859df80ae0_b.jpg"" data-rawwidth=""1161"" data-rawheight=""632"" class=""origin_image zh-lightbox-thumb"" width=""1161"" data-original=""https://pic1.zhimg.com/50/6ba8a96c0586692a1ae679859df80ae0_r.jpg""><br><br>拍人像比較多，有一些好的慄子不方便放上來……可惜……算了……",1371383514,13,10,7,57443,635,127708,25426,699,19,50,鄧妍
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"<img src=""https://pic4.zhimg.com/50/14133b6807eae2feca76ff6bcfae7f4b_b.jpg"" data-rawwidth=""6000"" data-rawheight=""4000"" class=""origin_image zh-lightbox-thumb"" width=""6000"" data-original=""https://pic4.zhimg.com/50/14133b6807eae2feca76ff6bcfae7f4b_r.jpg""><br><br>在玉山看完日出下來去看古木的時候拍的。 樓上大神說了 丁達爾效應。我自己也很喜歡。<br>當然原圖也很美。我給你看下。<br><img src=""https://pic4.zhimg.com/50/05a57f1eb7eb176d60c5b09357c076b3_b.jpg"" data-rawwidth=""6000"" data-rawheight=""4000"" class=""origin_image zh-lightbox-thumb"" width=""6000"" data-original=""https://pic4.zhimg.com/50/05a57f1eb7eb176d60c5b09357c076b3_r.jpg""><br>我想說的是 一般原圖就很美。你自己都覺得贊（請相信自己眼光好麽？）<br>稍加修飾就真的很美了。<br><br><img src=""https://pic4.zhimg.com/50/66602435a62d40cc7ed5a1b1930cad7f_b.jpg"" data-rawwidth=""6000"" data-rawheight=""4000"" class=""origin_image zh-lightbox-thumb"" width=""6000"" data-original=""https://pic4.zhimg.com/50/66602435a62d40cc7ed5a1b1930cad7f_r.jpg"">這是在墾丁傍晚看到的一對漁夫。<br><br><br>其實我個人覺得每個人的審美不同。<br>PS 我是業餘的或者說業餘都算不上。<br>我有些朋友就是專門學攝影。 老和我提什麼白平衡 曝光過度 我多數是不聽的。<br>說難聽點。我就我行我素 自己覺得怎麼整 怎麼漂亮就怎麼弄<br><br>或者說你潛心研究PS的技術吧 。。<br>那樣再差的照片也會變得很美。。",1380761597,4,1,1,279,109,1068,317,379,36,0,葉清波
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,只要不是曝光過度和曝光不足都有很大的PS空間.,1371227345,2,0,0,136,137,858,130,48,2,0,WING
如何判斷一幅風景照片具有 PS 成精美大作的潛質？,大多數單反拍攝未經ps的作品，raw格式，看起來都是灰濛蒙的。如果不ps的話，看起來就是一幅很平常的作品。但是經ps之後，就會變的令人賞心悅目。在此，我指的ps只是簡單處理色彩、飽和度等方面，不是從別處搬來藍天白雲放進去。問題僅指從照片的內容、色彩等方面討論，構圖先不說了。,1371170136,1332,"所有照片都有潛質被PS成大作（或者說，你期望的樣子）<br>個人而言，比較喜歡<b>層次豐富 重點突出</b>的照片，基本我的照片都是朝這兩個方向修整的。而且，對於我這種SNS控來說，簡單的手機app調整就基本夠用了，基本用不到ps。<br><br>方法：<br>層次豐富：可以同過各種濾鏡、色彩強化等<br>重點突出：可以通過後期調節水平線或者裁切來優化構圖，加強色彩對比可以去掉圖片中不必要的細節，從而強調了主體。<br><br>不成器的例子：<br>西藏的確的確的確隨手拍都是明信片，但是稍加處理，會發現更加美麗。<br><img src=""https://pic4.zhimg.com/50/a0910539f74ca4ddd900eabb629dfc0b_b.jpg"" data-rawwidth=""1639"" data-rawheight=""910"" class=""origin_image zh-lightbox-thumb"" width=""1639"" data-original=""https://pic4.zhimg.com/50/a0910539f74ca4ddd900eabb629dfc0b_r.jpg""><br><img src=""https://pic3.zhimg.com/50/3e06f52e1a2eb4ce1508fbcaec37c48a_b.jpg"" data-rawwidth=""1895"" data-rawheight=""720"" class=""origin_image zh-lightbox-thumb"" width=""1895"" data-original=""https://pic3.zhimg.com/50/3e06f52e1a2eb4ce1508fbcaec37c48a_r.jpg""><br><img src=""https://pic3.zhimg.com/50/73f271673b7bb1cbfdd451de2236d8fa_b.jpg"" data-rawwidth=""1500"" data-rawheight=""911"" class=""origin_image zh-lightbox-thumb"" width=""1500"" data-original=""https://pic3.zhimg.com/50/73f271673b7bb1cbfdd451de2236d8fa_r.jpg"">",1380706487,1,0,0,42,26,6,4,7,0,0,侃侃
